,Emp_ID,Emp_name,PayDate,Description,Hours,Amount
0,001HALEA,Alex Hales,06-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay']","['23', '0', '0', '0']","['351.87', '351.87', '0', '351.87']"
1,001HALEA,Alex Hales,13-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['46', '0', '0', '0', '0']","['703.74', '703.74', '-80', '623.74', '66.86']"
2,001HALEA,Alex Hales,20-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['37.5', '0', '0', '0', '0']","['573.7', '573.7', '-53', '520.7', '54.5']"
3,001HALEA,Alex Hales,27-12-82,"['Normal Hours', 'Public Holiday - worked', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['30', '15', '0', '0', '0', '0']","['458.96', '573.7', '1032.66', '-194', '838.66', '98.1']"
4,001HALEA,Alex Hales,03-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['37.5', '0', '0', '0', '0']","['573.7', '573.7', '-53', '520.7', '54.5']"
5,001HALEA,Alex Hales,10-01-83,"['Normal Hours', 'Time/Half Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['32', '5.5', '0', '0', '0', '0']","['489.56', '126.21', '615.77', '-62', '553.77', '46.51']"
6,001HALEA,Alex Hales,17-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['31', '0', '0', '0', '0']","['474.26', '474.26', '-29', '445.26', '45.05']"
7,001HALEA,Alex Hales,24-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['37', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['566.05', '566.05', '-52', '514.05', '53.77', nan, nan, nan, 'Page 2 of 553', nan, nan, nan, nan, 'Amount']"
8,001HALEA,Alex Hales,31-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['33.5', '0', '0', '0', '0']","['512.51', '512.51', '-40', '472.51', '48.69']"
9,001HALEA,Alex Hales,07-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Net Pay', 'Superannuation']","['35.5', '0', '0', '0', '0', '0']","['543.1', '543.1', '-47', '50', '546.1', '51.59']"
10,001HALEA,Alex Hales,14-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['35.25', '0', '0', '0', '0']","['539.28', '539.28', '-46', '493.28', '51.23']"
11,001HALEA,Alex Hales,21-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['34.5', '0', '0', '0', '0']","['527.81', '527.81', '-43', '484.81', '50.14']"
12,001HALEA,Alex Hales,28-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['35.25', '0', '0', '0', '0']","['539.28', '539.28', '-46', '493.28', '51.23']"
13,001HALEA,Alex Hales,07-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['35.5', '0', '0', '0', '0']","['543.1', '543.1', '-47', '496.1', '51.59']"
14,001HALEA,Alex Hales,14-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['35.5', '0', '0', '0', '0']","['543.1', '543.1', '-47', '496.1', '51.59']"
